BS, S:37858
-11.84,10.25
-18.99,10.72
-25.63,8.65
-22.21,7.69
-17.35,7.28
-15.66,7.58
-17.15,7.72
-15.18,7.02
-16.34,7.26
-16.46,6.54
-16.71,6.95
-14.49,6.99
-14.85,6.71
-16.66,7.07
-18.48,7.07
-17.69,6.7
-16.98,6.48
-16.24,6.41
-15.87,6.31
-14.43,6.18
-13.28,6.15
-12.47,6.05
-11.31,6.09
-11.56,6.33
-11.61,6.27
-11.83,6.36
-11.66,6.27
-10.97,6.09
-10.23,5.99
-9.54,5.97
-8.57,6.04
-8.23,5.94
-7.47,5.84
-5.97,5.56
-3.27,5.47
-1.92,6.13
-3.33,6.51
-4.18,6.02
-5.95,6.83
-9.11,7.19
-11.85,6.73
-11.76,6.29
-10.75,6.01
-9.08,5.87
-7.9,5.84
-6.97,5.98
-6.16,6.12
-6.8,6.48
-8.03,6.51
-8.85,6.44
-8.88,6.05
-8.34,5.87
-7.18,5.68
-5.14,5.63
-3.58,5.95
-3.22,6.09
-2.65,5.71
-1.47,5.54
-0.26,5.94
-1.42,5.95
-2.05,5.97
-2.1,6.02
-5.07,7.49
-7.94,6.46
-7.57,5.82
-6.7,5.36
-3.99,5.36
-1.16,5.36
-2.44,6.79
-6,6.43
-6.89,6.24
-6.81,5.72
-7.22,6.14
-8.31,6.38
-9.91,6.09
-10.21,5.97
-7.82,5.46
-4.55,5.5
-1.09,5.26
0.46,5.49
0.76,5.94
-0.33,6.77
-3.22,7.06
-4.85,6.43
-5.94,6.41
-4.75,5.77
-3.42,5.84
-2.79,5.7
-1.16,5.62
0.42,5.58
0.62,5.74
0.22,6.47
-1.31,7.16
-5.77,6.98
-8.46,6.28
-9.06,6.6
-8.8,5.99
-7.19,5.76
-4.26,5.51
-2.01,5.69
-1.22,5.84
-0.91,6.1
-1.11,6.39
-2.74,6.44
-3.53,6.24
-3.68,5.94
-2.63,5.73
-0.94,5.46
0.96,5.17
BE,
BS, S:37860
2.23,4.83
8.53,4.95
32.35,6.26
55.23,9.68
72.21,18.85
79.46,23.45
20.72,26.19
25.33,26.71
24.71,26.09
25.36,25.74
22.47,25.59
20.66,26.36
17.83,25.64
18.99,25.34
24.9,25.65
34.89,26.49
41.18,33.45
56.57,34.31
16.45,31.08
24.07,31.94
29.47,30.36
19.98,30.23
15.07,29.15
12.91,27.57
14.02,26.32
21.23,26.55
35.58,27.05
46.01,29.23
34,30.6
20.41,29.6
23.34,32.74
36.22,35
33.64,32.27
13.26,29.82
15.99,28.88
20.29,27.81
23.61,27.55
24.83,27.68
27.19,27.96
27.32,28.37
26.54,28.49
24.84,28.64
20.63,28.89
16.16,29.48
14.13,30.57
10.2,29.61
2.95,28.89
4.34,28.71
2.78,28.63
2.17,28.66
-1.34,28.85
-77.84,28.85
-101.79,25.23
-70.07,16.01
-14.1,7.33
1.11,6.69
-0.03,8.3
-8.8,9.24
-17.14,9.53
-21.85,8.21
-19.39,7.25
-17,7.07
-13.28,6.63
-11.62,6.53
-14.26,7.84
-19.73,8.18
-20.38,6.73
-16.25,6.42
-11.82,5.69
-8.21,6.59
-9.22,7.16
-13.93,7.94
-17.89,6.99
-17.56,6.96
-12.45,5.78
-9.93,6.6
-9.65,7.04
-11.14,7
-12.79,7.6
-14.69,7.38
-17.88,7.82
-17.75,6.77
-14.58,6.11
-13.71,6.58
-12.84,7.01
-12.11,6.53
-15.01,7.05
-16.51,6.74
-14.57,5.97
-11.79,5.55
-7.99,5.16
-3.87,5.07
-3.23,5.82
-3.77,6.48
-6.21,6.45
-7.37,6.91
-9.5,6.5
-9.62,6.31
-7.77,5.66
-5.82,5.54
-3.22,5.45
-1.67,5.45
-1.86,6.92
-6.17,7.57
-11,7.34
-11,6.08
-8.95,5.62
-5.2,5.91
-4.24,5.82
-4.13,5.83
-3.15,5.66
-2.76,6.41
-2.93,6.09
-3.04,6.01
-3.46,6.55
-7.86,7.06
-11.38,7.22
-10.21,6
-7.14,5.34
-3.07,5.63
-2.09,5.87
-6.2,6.79
-7.1,6.07
-5.14,5.63
-2.62,5.55
-1.29,5.68
-2.31,7.3
-7.08,7.31
-9.16,6.57
-7.71,5.62
-3.77,5.18
-0.4,5.32
0.62,5.63
0.41,5.98
-0.59,7.03
-7,7.66
-10.34,6.75
-9.06,5.9
-5.14,5.19
-0.96,5.17
0.88,5.62
0.76,5.97
-0.09,6.31
-1.22,6.38
-2.43,6.42
-7.05,7.21
-8.11,6.37
-6.75,5.61
-2.81,5.37
-0.12,5.42
0.92,5.67
0.82,6.3
-4.48,7.67
-7.17,6.75
-7.85,6.14
-5.8,5.71
-3.27,5.5
-0.75,5.51
0.42,5.73
0.48,5.98
0.08,6
-0.13,6
0.07,5.84
0.67,5.58
1.66,5.24
BE,
BS, S:37861
2.12,5.15
8.41,5.26
31.41,6.51
52.66,9.75
71.83,18.47
83.44,23.88
23.64,27.32
7.33,28.85
-1.13,27.7
10.64,26.64
10.2,26.03
8.36,26.26
6.18,25.95
8.44,24.83
22.26,25.86
38.91,27.74
28.07,34.78
42.45,40.01
-93.92,36.23
-78.64,25.35
-32.94,12.62
-0.54,4.62
2.72,2.84
3.4,2.36
3.9,2.2
3.77,1.78
3.52,1.51
3.35,1.5
BE,
BS, S:37862
3.41,1.28
17.95,1.6
54.83,4.02
81.62,12.03
105.45,18.97
49.27,24.85
20.43,28.06
13.47,27.3
21.53,26.49
16.13,26.82
11.55,25.93
9.9,24.17
14.77,24.48
29.3,25.54
40.76,28.03
40.4,36.23
40.19,34.04
-3.94,30.43
11.54,30.64
6.62,28.51
7.52,27.28
7.66,26.9
10.77,27.08
16.43,27.61
18.84,28.31
17.2,28.56
13.59,28.59
11.74,28.42
10.19,28.33
10.08,28.13
11.76,28.24
12.15,28.27
11.43,28.25
10.98,28.24
10.07,28.07
10.39,28.06
11.17,28.05
10.71,28.05
9.94,28.31
9.15,28.33
7.62,28.19
8.07,27.83
10.09,27.73
12.17,27.73
14.37,27.89
16.88,28
16.98,28.26
17.2,28.42
16.22,28.53
14.75,28.42
14.18,28.39
-65.95,28.04
-85.53,23.53
-62.44,14.53
-11.03,6.93
2.29,5.26
3,6.17
3.38,7.07
0.88,8.32
-5.62,8.66
-9.06,7.97
-10.22,7.31
-8.69,7.03
-7.68,6.83
-7.67,6.49
-5.69,6.43
-3.41,6.14
-3.5,7.05
-5.21,6.83
-6.45,6.84
-6.85,6.33
-5.81,6.3
-3.16,5.97
-4.69,7.44
-6.58,7.4
-8.41,6.38
-6.75,5.91
-3.76,5.51
-1.24,6.08
-4.34,7.86
-8.43,7.37
-12.25,7.16
-9.98,5.83
-5.54,5.08
-0.49,5.08
1.2,6.12
-0.78,6.76
-2.49,6.42
-4.94,6.93
-7.63,7.89
-11.08,7.78
-9.91,6.11
-10.15,6.29
-7.5,5.8
-3.91,5.2
-1.66,6.63
-3.02,7.39
-8.2,7.22
-11.13,7.1
-12.81,6.79
-12.41,6.31
-10.69,5.85
-8.27,5.68
-6.01,5.62
-3.87,5.65
-2.21,5.64
-1.04,5.69
-0.22,5.67
0.32,5.66
0.74,5.58
0.93,5.56
1.56,5.31
BE,
BS, S:37863
1.98,5.22
7.42,5.35
28.53,6.67
49.85,9.76
65.24,17.97
80.93,25.2
30.7,26.73
16.89,28.31
8.9,27.78
15.72,26.9
12.67,25.91
9.75,26.1
7.82,25.02
10.63,25.24
19.8,25.54
28.59,27.36
29.8,28.28
24.11,35.39
32.13,30.66
0.57,29.6
14.72,28.57
14.03,27.99
16.09,27.54
16.78,27.57
17.93,27.84
16.86,28.12
16.06,28.31
14.27,28.49
11.73,28.53
9.19,28.45
8.31,28.27
8.69,28.21
8.58,28.34
7.96,28.29
6.38,28.32
5.32,28.32
4.79,28.23
3.66,28.32
2.26,28.41
0.63,28.41
-0.68,28.26
-0.79,28.14
-0.94,28.05
-0.78,28.05
-0.63,28.04
-0.57,27.95
-0.15,27.95
0.68,27.87
1.33,27.86
3.07,27.88
4.73,27.88
-64.29,27.77
-90.75,24.2
-69.46,15.41
-17.13,7.36
2.46,5.28
3.34,6.85
-0.17,8.34
-9.57,10.01
-15.08,8.47
-15.98,7.55
-12.96,6.98
-13.38,7.44
-13.63,6.9
-10.87,7.18
-9.79,6.74
-11.34,7.21
-9.72,6.66
-11.57,6.66
-10.22,6.62
-7.66,5.59
-6,6.04
-7.98,7.77
-12.65,8.5
-15.01,7.47
-14.38,6.63
-14.63,6.6
-14.65,6.9
-11.77,5.85
-11.61,5.72
-10.7,6.8
-12.07,6.5
-14.64,7.07
-14.59,6.44
-12.02,6.31
-11.95,6.26
-9.72,5.68
-8.34,6.38
-9.16,6.66
-11.15,6.88
-12.58,6.69
-13.64,6.43
-11.54,6.03
-10.63,5.9
-10.1,5.81
-7.13,5.82
-6.27,5.8
-5.44,5.78
-3.61,5.74
-2.88,5.72
-2,5.79
-1.03,5.76
-0.3,5.68
0.61,5.49
1.09,5.4
1.79,5.25
BE,
BS, S:37864
2.1,5.19
8.18,5.29
29.98,6.58
51.9,9.77
68.76,18.71
87.33,23.25
27.77,25.85
26.12,27.49
10.8,27.2
12.11,26.68
12.19,24.81
12.41,25.44
19.4,24.46
31.36,26.11
42.81,27.4
34.58,29.54
18.39,34.52
24.67,29.85
-2.78,28.43
10.23,28.08
12.43,26.16
18.77,25.89
33.29,27.37
44.26,28.96
31.51,30.81
10.08,31.53
17.62,29.57
15.24,29.18
16.73,28.86
14.21,28.6
12.56,28.44
10.1,28.53
7.62,28.6
4.56,28.62
1.82,28.47
0.12,28.43
-1.95,28.38
-2.58,28.21
-2.37,28.18
-3.12,28.28
-3.5,28.35
-3.59,28.29
-3.81,28.28
-3.67,28.2
-3.46,28.2
-3.63,28.12
-3.64,28.12
-3.52,28.03
-3.41,27.88
-3.11,27.86
-2.6,27.71
-64.61,27.71
-92.99,24.35
-69.76,15.6
-18.49,7.53
2.55,5.71
3.13,7.91
-2.43,8.92
-13.91,10.63
-19.52,9.01
-21.26,7.5
-18.43,7.62
-15.6,6.87
-12.74,6.59
-12.72,7.13
-12.62,6.41
-11.84,7.04
-10.72,7.01
-10.77,6.33
-11.13,7.01
-13.01,6.91
-15.4,7.08
-12.86,6.61
-13.77,6.93
-11.63,5.84
-10.89,6.25
-10.44,6.53
-12.26,6.74
-12.56,6.69
-12.82,6.43
-12.52,6.14
-11.26,6.01
-10.17,5.98
-8.55,5.94
-8.61,6.02
-7.87,6.01
-7.72,6.08
-7.14,6
-5.8,5.96
-5.38,5.86
-4.89,5.84
-3.56,5.82
-2.58,5.73
-1.19,5.62
0.1,5.5
1.1,5.32
2,5.14
BE,
BS, S:37865
2.13,5.14
8.21,5.24
30.33,6.52
53.51,9.86
72.87,18.87
89.13,23.81
25.37,25.63
24.72,26.71
19.75,26.74
21.87,26.42
17.2,25.79
14.98,25.9
13.71,25.13
16.86,25.24
25.42,25.64
35.23,27.2
33.7,29.32
39.79,35.41
21.75,30.65
7.31,29.51
14.55,28.92
17.83,27.8
17.28,27.31
19.03,27.48
21.14,27.62
22.44,28.1
22.34,28.16
20.29,28.53
17.68,28.98
16.48,28.52
14.8,28.37
14.31,28.49
14.13,28.75
13.24,29.16
13.3,28.84
10.38,28.61
9.48,28.34
8.32,28.11
8.61,28.06
8.7,28.11
8.44,28.13
7.94,28.22
7.73,28.29
6.73,28.3
5.33,28.25
4.89,28.16
4.36,28.16
3.91,28.22
4.08,28.13
3.23,28.22
2.7,28.22
-63.57,28.13
-93.5,24.55
-70.79,15.64
-17.57,7.41
2.27,5.87
3.34,7.64
-3.56,9.34
-18.11,11.14
-29.04,8.96
-22.59,7.24
-13.79,6.23
-10.87,7.16
-11.48,6.63
-13.75,8.06
-17.16,7.69
-19.11,7.08
-13.31,6.31
-10.52,5.54
-7.97,6.05
-10.02,7.37
-12.13,7.02
-14.18,7.14
-15.67,7.28
-17.24,6.87
-17.37,6.67
-16.1,6.48
-14.7,6.21
-13.94,6.25
-13.95,6.25
-12.18,6.21
-12.57,6.3
-12.59,6.21
-11.18,6.1
-11.79,6.4
-12.12,6.44
-12.14,6.51
-12.95,6.4
-12.27,6.12
-10.7,6.07
-8.9,5.47
-4.7,4.87
0.11,4.75
1.53,5.53
1.54,5.75
-0.94,7.73
-2.83,6.68
-3.84,6.53
-4.09,5.97
-3.35,5.97
-5.36,7.18
-6.65,6.78
-8.01,6.69
-8.42,6.62
-7.99,6.15
-8.08,6.67
-7.18,6.27
-6.44,6.09
-6.87,5.99
-7.44,6.2
-7.21,6.23
-7.67,6.55
-5.3,5.61
-1.91,5.21
-0.41,6.21
-1.41,6.43
-1.86,5.98
-1.12,5.63
0.06,5.36
1.55,5.15
BE,
BS, S:37866
2.24,5
8.56,5.12
31.29,6.41
52.93,9.62
69,19.84
86.97,24.02
20.8,25.25
27.62,26.53
21.28,26.42
16.91,26.63
14.24,26.29
11.79,25.23
13.49,24.86
21.44,24.94
36.53,26.38
43.02,28.79
29.27,37.31
35.29,32.68
-0.21,29.84
11.55,29.04
13.86,27.14
15.98,26.69
19.41,26.43
25.87,27.02
31.6,27.93
31.13,29.36
23,30.44
25.14,31.05
14.75,29.39
13.62,29.13
12.32,29.12
10.55,28.87
9.61,28.91
5.86,28.91
2.31,28.98
-0.24,28.82
-3.4,28.8
-5.11,28.61
-4.32,28.4
-4.25,28.38
-4.6,28.41
-4.46,28.47
-4.91,28.41
-4.63,28.37
-4.45,28.32
-4.2,28.44
-4.38,28.17
-2.86,27.65
-1.2,27.45
-1.02,27.87
-1.71,28.32
-66.59,28.3
-90.05,24.32
-65.66,15.23
-11.8,7.03
2.5,5.01
3.12,6.7
1,8.22
-3.58,8.79
-11.11,8.95
-13.97,8.61
-15.75,7.55
-16.87,7.52
-11.35,6.79
-9.06,5.69
-3.72,5.66
0.13,5.59
0.93,6.1
-2.99,7.79
-9.66,8.55
-16.43,8.57
-21.27,7.85
-20.54,6.9
-16.64,6.44
-9.4,5.69
-7.81,6.39
-9.12,6.9
-11.89,7.13
-13.9,6.93
-14.13,6.61
-13.8,6.26
-12.3,6.12
-11.33,6.01
-9.95,6.05
-9.03,6.04
-8.98,6.12
-8.85,6.16
-8.92,6.12
-8.9,6.12
-8.47,6.02
-7.84,6.09
-7.35,6.08
-6.93,6.14
-7.32,6.15
-6.75,6.06
-6.25,6.05
-6.08,6.05
-5.94,6.08
-5.79,6.04
-5.11,5.94
-4.64,5.85
-3.58,5.82
-2.3,5.73
-1.44,5.78
-0.79,5.76
0.07,5.67
0.97,5.36
1.78,5.23
BE,
BS, S:37867
1.99,5.15
8.58,5.24
30.84,6.48
54.07,9.61
71.58,19.08
87.74,22.94
25.62,25.38
30.58,26.85
15.35,27.28
15.06,27.17
11.52,25.49
9.37,24.07
17.17,23.82
33.65,24.89
53.1,27.6
45.97,34.31
38.94,36.13
-2.29,31.77
3.02,29.78
5.9,28.71
3.89,25.59
8.95,24.68
28.89,26.09
51.05,28.61
48.08,32.11
22.05,33.32
3.43,31.42
11.28,29.86
12.31,27.89
11.33,26.74
17.3,26.15
29.97,27.22
42.3,28.75
35.1,31.51
27.54,34.53
11.07,31.16
5.08,30.07
7.3,29.43
8.25,28.76
6.87,28.52
5.06,28.43
2.22,28.52
-0.29,28.53
-2.52,28.62
-3.22,28.54
-3.3,28.54
-3.55,28.39
-3.3,28.36
-3.24,28.44
-3.04,27.91
-1.84,27.63
-62.43,27.58
-85.66,23.65
-66.37,15.04
-14.41,7.29
2.15,6.05
3.18,7.93
-4.68,9
-13.14,10
-20.42,8.73
-24.44,8.04
-20.54,7.64
-15.46,6.57
-12.48,6.71
-7.83,5.74
-8.64,6.41
-9.05,6.51
-11.18,7.03
-12.5,7.34
-15.08,7.66
-15.22,6.82
-13.41,5.66
-11.77,6.27
-11.29,6.62
-12.69,6.81
-12.37,6.65
-11.54,6.15
-9.48,5.78
-9.46,6.47
-9.82,6.6
-11.36,6.75
-12.35,6.67
-13.52,6.5
-12.49,6.38
-12.43,6.22
-11.91,6.12
-9.84,5.89
-8.48,5.48
-6.26,5.99
-6.03,6.53
-7.78,6.51
-9.11,6.57
-9.82,6.54
-10.79,6.42
-10.68,6.25
-10.19,6.15
-9.83,6.05
-8.38,5.94
-8.19,5.94
-6.84,5.82
-7.31,6.12
-7.86,6.33
-7.54,6.31
-8.45,6.26
-8.49,6.21
-7.73,6.1
-8.18,6.03
-7.67,5.93
-6.07,5.96
-6.19,6.04
-5.68,6.04
-5.42,6.11
-5.74,6.12
-5.65,6.12
-5.76,6.13
-5.41,5.96
-5.49,6.23
-6.49,6.25
-5.83,6.21
-6,6.14
-6.76,6.15
-5.68,6.04
-5.68,6.04
-5.55,6.03
-4.79,6.02
-4.75,5.93
-4.15,5.92
-3.93,6
-4.02,6.09
-4.16,6.16
-3.98,6.17
-3.99,6.09
-4.18,6.17
-4.36,6.09
-4.13,6.09
-4.11,6.01
-4.14,6
-3.74,6
-3.61,6.07
-3.61,6.08
-3.31,5.99
-2.96,5.98
-2.93,6.06
-3.04,6.13
-3.04,6.08
-3.08,6.07
-2.93,5.99
-2.69,5.97
-2.74,5.97
-2.46,5.97
-2.25,5.96
-2.27,5.96
-2.03,5.96
-1.81,5.87
-1.09,5.86
-0.27,5.76
0.36,5.6
1.11,5.41
1.81,5.23
BE,
BS, S:37868
2.27,5.15
8.54,5.26
29.21,6.53
52.74,9.62
71,19.06
88.15,23.48
34.04,25.42
31.32,27.18
20.43,27.09
19.49,26.94
15.12,26.26
11.59,24.99
13.23,24.46
23.33,25.47
36.23,26.61
41.62,28.51
26.41,35.18
35.73,34.18
0.48,30.46
10.79,28.7
15.19,27.06
17.6,26.67
27.42,26.71
35.7,27.89
34.9,29.38
24.94,29.73
20.04,28.81
20.85,30.64
17.51,30.01
15.36,28.51
20.16,27.67
23.09,27.62
25.85,27.67
26.45,28.43
27.49,28.81
28.27,30.88
27.88,31.49
19.08,29.72
12.94,28.72
20.28,28.73
22.2,27.9
23.91,27.89
25.16,28.1
25.32,28.4
25.55,28.55
21.98,28.87
18.46,29.43
20.76,31.81
14.17,29.5
3.34,28.83
7.23,28.78
-71.08,28.44
-93.96,24.21
-65.32,15.22
-16.02,7.38
1.9,5.96
2.57,7.84
-6.29,9.16
-16.49,10.36
-20.82,8.16
-15.33,7.49
-13.08,6.97
-11.7,7.01
-12.83,7.95
-12.85,6.98
-14.73,7.1
-13.46,6.96
-13.88,7.13
-15.72,7.14
-14.45,6.19
-14.38,6.54
-12.42,6.61
-10.87,5.99
-10.49,6.77
-13.14,7.47
-14.28,7.06
-15.47,6.45
-14.28,6.61
-12.54,6.37
-13.6,6.8
-13.49,6.57
-14.23,6.3
-12.78,6.54
-13.41,6.71
-14.65,6.61
-13.9,6.44
-13.99,6.26
-13.36,5.91
-10.7,6.07
-10.85,6.24
-11.48,6.27
-10.37,6.15
-10.62,6.16
-9.51,5.88
-8.48,6.01
-8.2,6.26
-8.18,6.02
-7.73,6.01
-7.93,6.49
-9.07,6.44
-9.51,6.35
-8.51,5.85
-8.32,6.05
-8.43,6.4
-6.87,5.67
-4.32,5.26
-1.34,5.65
-0.93,6.56
-3.77,6.96
-7.42,7.24
-7.88,6.17
-6.03,5.55
-2.38,5.3
-0.73,6.25
-2.38,6.66
-4.8,6.49
-7.16,6.99
-9.9,7.66
-13.04,6.69
-14.92,6.73
-13.05,5.78
-9.44,5.16
-5.5,5.18
-1.5,5.09
0.89,5.24
1.42,5.52
1.06,5.88
0.15,6.67
-1.07,6.45
-4.85,7.84
-10.84,8
-11.87,6.25
-7.9,5.13
-2.95,4.84
-0.03,5.61
1.08,5.81
-0.47,6.62
-3.24,6.82
-4.9,6.37
-5.31,5.99
-4.18,6.11
-8.4,7.46
-11.02,6.74
-10.69,6.03
-7.83,5.45
-4.45,5.49
-1.7,5.36
0.3,5.41
1.15,5.61
0.73,5.98
-0.22,6.3
-1.63,6.52
-4.05,7.71
-6.14,6.82
-6.02,5.97
-3.97,5.95
-2.59,5.65
-3.53,6.38
-3.59,5.99
-3.28,5.91
-2.27,5.8
-1.36,5.78
-0.31,5.76
0.28,5.75
0.49,5.67
0.91,5.57
1.5,5.4
BE,
BS, S:37869
1.97,5.24
7.97,5.35
29.24,6.59
51.04,9.62
67.81,18.49
83.1,24.21
32.9,25.73
25.92,27.72
6.04,28.26
9.35,26.73
12.36,24.92
13.41,25.1
20.7,24.86
29.61,25.87
40.46,27.39
32.61,29.28
14.63,31.85
18.12,31.57
9.17,29.03
12.27,27.63
15.31,25.9
23.32,26.24
36.59,27.96
29.58,30.5
20.15,28.97
21.71,28.57
27.08,28.41
21.97,29.2
17.64,29.36
15.36,28.72
14.91,28.13
21.02,27.53
25.72,28.25
30.58,30.02
27.95,28.88
20.89,28.49
21.37,28.35
21.44,28
24.77,28.51
24.08,28.61
24.18,28.12
25.76,28.19
27.41,29.67
33.36,30.49
26.94,29.32
17.65,28.91
20.04,28.8
21.77,28.35
21.05,28.56
18.89,28.76
14.87,28.82
-73.43,28.44
-88.88,23.91
-58.45,14.47
-5.58,7.2
2.4,6.49
1.96,8.27
-8.65,9.6
-18.46,10.14
-24.96,7.8
-17.36,6.91
-11.24,6.78
-8.64,6.91
-11.68,7.4
-10.94,6.86
-11.77,6.37
-12.87,7.39
-11.72,7.04
-13.1,6.94
-11.29,6.12
-10.33,6.29
-7.38,5.91
-7.53,6.33
-9.52,7.27
-12.97,7.46
-15.57,7.35
-17.55,7.07
-17.38,6.62
-15.78,6.4
-13.17,6.16
-12.71,6.13
-12.64,6.22
-11.4,6.18
-11.73,6.19
-11.54,6.18
-11.13,6.17
-11.07,6.17
-10.87,6.17
-10.7,6.16
-9.65,6.14
-9.65,6.21
-10.06,6.23
-9.28,6.21
-9.99,6.16
-9.62,6.14
-8.52,5.95
-8.91,6.03
-8.25,6.1
-8.24,6.02
-7.47,6
-7.36,6.06
-7.57,6.07
-6.17,6.06
-6.5,6.14
-6.44,6.14
-6.33,6.13
-6.38,6.14
-6.24,6.13
-6.43,6.06
-5.74,6.03
-5.62,5.95
-5.51,6.03
-4.57,6.05
-4.6,6.1
-4.35,6.01
-4.13,6
-3.87,5.99
-3.46,5.99
-3.02,5.91
-2.57,5.91
-2.31,5.97
-2.25,5.91
-1.64,5.8
-0.81,5.77
0.16,5.6
1.02,5.42
1.98,5.23
BE,
BS, S:37870
2.21,5.15
8.14,5.26
30.23,6.53
52.45,9.72
70.37,18.75
84.71,23.29
25.37,25.21
31.65,26.44
22.81,26.41
23.69,26.38
19.74,26.28
13.64,26.57
10.83,25.17
13.26,24.53
27.3,25.39
42.57,27.07
44.37,36.08
32.41,39.13
-109.68,34.07
-71.45,21.69
-23.57,10.46
-0.73,5.31
0.31,5.09
3.3,5.39
3.86,5.54
3.81,5.24
3.54,5.05
3.29,4.97
BE,
BS, S:37871
3.22,4.99
8.44,5.14
32.78,6.61
52.96,11.25
74.15,16.46
68.11,20.9
40.62,24.5
27.14,26.14
22.81,26.8
23.35,26.6
18.77,26.19
15,25.81
14.28,24.96
17.97,25.87
25.84,26.52
30.45,28.41
31.57,32.46
23.36,30.03
4.44,28.94
11.02,28.73
12.54,27.93
13.44,27.76
13.37,27.84
12.4,27.93
12.18,27.94
11.55,27.94
11.63,27.98
11.36,28.02
10.35,28.13
9.24,28.29
8.15,28.31
6.64,28.25
5.97,28.16
5.52,28.13
5.31,28.04
4.93,28.12
5.29,28.12
4.67,28.13
4.12,28.07
4.6,27.97
4.8,27.88
5.78,27.85
6.83,27.82
8.34,27.96
9.53,28.07
9.68,28.05
10.93,28
11.1,28.02
12.33,28.06
12.06,28.15
11.59,28.22
-64.2,27.97
-90.59,23.97
-63.52,14.97
-16.39,7.33
2.37,6.02
3.26,7.57
-5.44,9.11
-14.09,9.33
-19.44,8.49
-17.28,7.58
-13.33,6.81
-11.83,6.73
-11.87,6.84
-12.27,6.7
-10.75,6.64
-10.42,7.16
-11.3,7.22
-12.88,6.8
-14.87,6.99
-15.56,7.31
-15.44,6.69
-14.49,6.81
-12.34,6.34
-12.64,6.23
-11.51,6.54
-12.63,6.83
-13.62,7.09
-15.86,7.02
-16.91,6.76
-15.49,6.44
-15.27,6.22
-14.01,6.09
-12.87,6.06
-11.2,6.02
-10.95,6.08
-11.21,6.18
-10.46,6.16
-10.75,6.17
-9.98,6.14
-9.43,6.13
-9.09,6.14
-9.4,6.13
-9.78,6.16
-8.59,6.16
-9.34,6.13
-8.89,6.11
-8.35,6.1
-8.55,6.11
-8.54,6.1
-8.51,6.03
-7.26,6.07
-7.36,6.08
-7.32,6.16
-6.63,6.16
-7.1,6.17
